"day","name","place","hour","badges","link"

"17","Flor Del Fango","Plaza Nueva","23:30","🎵","https://www.dodmagazine.es/programa-aste-nagusia-bilbao-2019/"
"18","Los Que No Escarmientan y Caco Senante","Plaza Nueva","23:30","🎵","https://www.dodmagazine.es/programa-aste-nagusia-bilbao-2019/"
"19","O'Sister!","Plaza Nueva","23:30","🎵","https://www.dodmagazine.es/programa-aste-nagusia-bilbao-2019/"
"20","Tin' Del Batey","Plaza Nueva","23:30","🎵","https://www.dodmagazine.es/programa-aste-nagusia-bilbao-2019/"
"21","Linval Thompson & Strong Like Sampson Band","Plaza Nueva","23:30","🎵","https://www.dodmagazine.es/programa-aste-nagusia-bilbao-2019/"
"22","Flamenco Joven","Plaza Nueva","23:30","🎵","https://www.dodmagazine.es/programa-aste-nagusia-bilbao-2019/"
"23","The Etta James Experience","Plaza Nueva","23:30","🎵","https://www.dodmagazine.es/programa-aste-nagusia-bilbao-2019/"
"24","Xabi Aburruzaga & Lagunak Ikuskizuna","Plaza Nueva","23:30","🎵","https://www.dodmagazine.es/programa-aste-nagusia-bilbao-2019/"

"17","Incursed (Bilbao) (Folk Pagan Metal)","Bilborock","20:00","🎵"
"17","Voltium (Orduña-Basauri) (Trash Metal)","Bilborock","21:00","🎵"
"18","Pomeray (Bilbao) (Rock)","Bilborock","20:00","🎵"
"18","Colajets (Barakaldo-Santurtzi) (Rock)","Bilborock","21:00","🎵"
"19","Endika Sangroniz (Getxo) (Indie Folk Rock)","Bilborock","20:00","🎵"
"19","Alain Concepción & The Soul Men (Amorebieta-Etxano) (Soul & Soft Rock)","Bilborock","21:00","🎵"
"20","La Medizinah (Bilbao) (Rap)","Bilborock","20:00","🎵"
"20","Arrano Pertxa Eta Lengu Iluna (Bilbao) (Hip Hop)","Bilborock","21:00","🎵"
"21","Las Sexpeares (Barakaldo) (Rock Alternativo)","Bilborock","20:00","🎵"
"21","Rosebud (Getxo) (Country Folk Rock)","Bilborock","21:00","🎵"
"22","Noa Cliff (Plentzia) (Pop)","Bilborock","20:00","🎵"
"22","Desira (Bilbao) (Euskal Rock)","Bilborock","21:00","🎵"
"23","Bringas (Getxo) (Americana)","Bilborock","20:00","🎵"
"23","General Lee (Barakaldo) (Rockabilly Swing)","Bilborock","21:00","🎵"
"24","Aesthetic (Ondarroa) (Death-Black Metal)","Bilborock","20:00","🎵"
"24","Knives (Bilbao) (Death-Black Metal)","Bilborock","21:00","🎵"

"17","Paul Collins Beat","Sala Azkena","21:30","🎵","https://www.facebook.com/AzkenaBilbao/photos/a.195714360460135/2577930575571823/?type=3&theater"
"22","TT Syndicate","Sala Azkena","21:30","🎵","https://www.facebook.com/AzkenaBilbao/photos/a.195714360460135/2577930575571823/?type=3&theater"
"23","Los Chicos y Los Mutagenicos","Sala Azkena","21:30","🎵","https://www.facebook.com/AzkenaBilbao/photos/a.195714360460135/2577930575571823/?type=3&theater"
"24","Biznaga","Sala Azkena","21:30","🎵","https://www.facebook.com/AzkenaBilbao/photos/a.195714360460135/2577930575571823/?type=3&theater"

"17","Rise To Fall - The Space Octopus","Kafe Antzokia","23:00","🎵","http://www.kafeantzokia.eus/es/agenda/"
"22","Kaos Urbano - Radiocrimen - Undecimo Mandamiento","Kafe Antzokia","23:00","🎵","http://www.kafeantzokia.eus/es/agenda/"
"23","Empty Files - Perky Pat","Kafe Antzokia","23:00","🎵","http://www.kafeantzokia.eus/es/agenda/"
"24","Izar & Star IX: Elton John vs Yo, Gerard & invitados","Kafe Antzokia","23:00","🎵","http://www.kafeantzokia.eus/es/agenda/"

"17","Ídolos del Extrarradio + Uger + Marvel Indie Club con Casual Groupies","Shake!","21:30","🎵","https://www.facebook.com/Shakebilbao/photos/a.1242081485803412/2596732623671618/?type=3&theater"
"18","Ballard + Puro Odio + Motorastola","Shake!","21:30","🎵","https://www.facebook.com/Shakebilbao/photos/a.1242081485803412/2596732623671618/?type=3&theater"
"19","Deimocracy + Voltium","Shake!","21:30","🎵","https://www.facebook.com/Shakebilbao/photos/a.1242081485803412/2596732623671618/?type=3&theater"
"20","Soulbane + Mice","Shake!","21:30","🎵","https://www.facebook.com/Shakebilbao/photos/a.1242081485803412/2596732623671618/?type=3&theater"
"21","Mikel Uraken + Abereh","Shake!","21:30","🎵","https://www.facebook.com/Shakebilbao/photos/a.1242081485803412/2596732623671618/?type=3&theater"
"22","3er Aniversario Shake! Los Paniks + Pomeray + Real Bullitt-Adrian + Santi & Juanjo Runaway + Alex III","Shake!","21:30","🎵","https://www.facebook.com/Shakebilbao/photos/a.1242081485803412/2596732623671618/?type=3&theater"
"23","Los Nitxos + Huracan Rose + Fausto Castillo (Mex)","Shake!","21:30","🎵","https://www.facebook.com/Shakebilbao/photos/a.1242081485803412/2596732623671618/?type=3&theater"
"23","Kris II","Shake!","01:00","🎵","https://www.facebook.com/Shakebilbao/photos/a.1242081485803412/2596732623671618/?type=3&theater"
"23","DJ Set","Shake!","03:00","🎵","https://www.facebook.com/Shakebilbao/photos/a.1242081485803412/2596732623671618/?type=3&theater"
"24","Vector + Devil Vow + Real Bullitt-Adrian + Chiki Willy(MAD) + Nash","Shake!","21:30","🎵","https://www.facebook.com/Shakebilbao/photos/a.1242081485803412/2596732623671618/?type=3&theater"
